"IRSEX","NEWRACE2","HEALTH2","EDUSCHLGO_T","EDUSCHGRD2_T","EDUSKPCOM_T","IMOTHER","IFATHER","INCOME","GOVTPROG","POVERTY3","PDEN10","COUTYP4","SCHFELT","TCHGJOB","AVGGRADE","STNDSCIG","STNDSMJ","STNDALC","STNDDNK","PARCHKHW","PARHLPHW","PRCHORE2","PRLMTTV2","PARLMTSN","PRGDJOB2","PRPROUD2","ARGUPAR","YOFIGHT2","YOGRPFT2","YOHGUN2","YOSELL2","YOSTOLE2","YOATTAK2","PRPKCIG2","PRMJEVR2","PRMJMO","PRALDLY2","YFLPKCG2","YFLTMRJ2","YFLMJMO","YFLADLY2","FRDPCIG2","FRDMEVR2","FRDMJMON","FRDADLY2","TALKPROB","PRTALK3","PRBSOLV2","PREVIOL2","PRVDRGO2","GRPCNSL2","PREGPGM2","YTHACT2","DRPRVME3","ANYEDUC3","RLGATTD","RLGIMPT","RLGDCSN","RLGFRND","IRMJFY","log_IRMJFY"
"1","1","2","Not Enrolled in School","4","Skipped School","2","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"2","1","3","Enrolled in School","99","Question N/A","1","1","2","1","1","3","3","1","1","2","1","1","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2",208,5.33754288738207
"2","1","1","Not Enrolled in School","3","Skipped School","1","1","4","2","3","2","3","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"2","7","2","Not Enrolled in School","8","Skipped School","1","1","2","2","2","1","1","1","1","2","1","1","1","1","1","2","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",1,0.000999500333083423
"2","1","2","Not Enrolled in School","4","Question N/A","1","1","3","1","3","2","2","1","1","2","2","2","2","2","2","1","2","2","1","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"2","6","2","Not Enrolled in School","3","Skipped School","1","1","2","2","1","1","1","2","1","2","2","1","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","1","2",0,-6.90775527898214
"2","7","3","Not Enrolled in School","6","Skipped School","1","2","2","1","2","1","1","2","1","2","1","1","1","2","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","2","1","2","2","2","1","1","2","1","1","1",0,-6.90775527898214
"1","1","1","Not Enrolled in School","5","Question N/A","1","1","2","2","2","2","3","1","2","2","1","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"2","2","2","Not Enrolled in School","3","Skipped School","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"1","7","3","Not Enrolled in School","6","Did Not Skip School","1","1","4","2","3","2","3","2","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","1","2","1","2","2",0,-6.90775527898214
"2","1","2","Not Enrolled in School","3","Skipped School","1","1","4","2","3","2","3","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","2","2","2",0,-6.90775527898214
"1","7","3","Not Enrolled in School","7","Skipped School","1","1","3","1","2","1","1","1","2","2","2","1","1","2","2","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","2","1","2","2","1","1","2",104,4.64440051447976
"2","1","4","Not Enrolled in School","5","Did Not Skip School","1","1","2","2","2","3","3","2","2","2","2","1","1","2","2","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",24,3.17809549614658
"2","7","2","Not Enrolled in School","3","Skipped School","1","1","2","1","2","2","2","1","2","2","2","2","2","2","2","1","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","2","2","2",0,-6.90775527898214
"1","2","1","Not Enrolled in School","3","Question N/A","1","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"2","7","2","Enrolled in School","99","Question N/A","1","1","4","1","3","1","1","1","1","2","2","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","1","1","1","2","2",0,-6.90775527898214
"2","1","3","Not Enrolled in School","6","Question N/A","2","1","4","2","3","2","2","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","2","2","1","1","2","1","1","1",0,-6.90775527898214
"1","4","2","Not Enrolled in School","6","Skipped School","1","2","1","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","1","2",0,-6.90775527898214
"2","1","2","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","2","1","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","7","1","Not Enrolled in School","7","Skipped School","1","1","3","2","3","2","2","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","2","2","2","2","1","2","1","1","2",240,5.48064308999998
"2","3","1","Not Enrolled in School","7","Skipped School","2","1","3","2","3","1","1","1","2","2","2","2","2","2","1","2","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","7","2","Not Enrolled in School","4","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","2","2",0,-6.90775527898214
"2","2","3","Not Enrolled in School","7","Skipped School","1","2","2","2","2","3","3","2","2","2","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",3,1.09894556645823
"1","1","2","Not Enrolled in School","5","Did Not Skip School","1","1","3","2","3","2","2","1","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"2","2","2","Not Enrolled in School","7","Question N/A","2","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1","2","2","1","1","1","2","2","2","2","1","2","1","1","2","1","1","2",0,-6.90775527898214
"1","6","4","Not Enrolled in School","6","Did Not Skip School","1","1","4","2","3","2","2","1","1","2","2","1","1","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","2","1","1","2","1","1","1",0,-6.90775527898214
"1","7","2","Not Enrolled in School","6","Skipped School","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2",0,-6.90775527898214
"2","3","3","Not Enrolled in School","3","Skipped School","1","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","2","1","2","2",0,-6.90775527898214
"2","7","2","Not Enrolled in School","3","Skipped School","1","2","1","2","1","1","1","1","1","2","2","1","1","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","2","2",0,-6.90775527898214
"1","1","2","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","1","1","2","2","1","1","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","2","2","2","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","1","2","2","2","2",51,3.93184524037523
"2","1","3","Not Enrolled in School","4","Skipped School","1","1","4","2","3","2","3","2","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","1","2","1","2","2","1","1","2",1,0.000999500333083423
"2","7","1","Not Enrolled in School","6","Skipped School","1","1","3","2","3","1","1","2","2","2","2","1","1","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","1",0,-6.90775527898214
"2","2","1","Not Enrolled in School","8","Question N/A","1","1","2","2","2","1","1","1","2","2","2","1","1","1","1","2","1","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","1","2","1","1","2",0,-6.90775527898214
"2","2","2","Not Enrolled in School","5","Did Not Skip School","1","2","2","1","2","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","1","1","1",0,-6.90775527898214
"2","2","2","Enrolled in School","99","Question N/A","1","1","1","1","1","2","2","1","1","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","1","2","1","1","2","1","1","1",0,-6.90775527898214
"1","3","3","Enrolled in School","99","Question N/A","1","1","2","1","2","1","1","1","1","2","2","2","2","2","2","2","1","1","1","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2",0,-6.90775527898214
"2","1","1","Not Enrolled in School","5","Skipped School","1","2","4","2","3","2","2","1","1","2","2","2","2","2","2","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","1","2","Not Enrolled in School","6","Skipped School","1","2","4","2","3","1","1","2","1","2","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","2",0,-6.90775527898214
"2","3","3","Not Enrolled in School","8","Skipped School","1","1","3","2","2","2","2","2","1","2","2","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","1","2","2","2","2","2","1","1","1","2","2","2","2",364,5.89715661488571
"2","1","3","Enrolled in School","99","Question N/A","1","1","4","2","3","1","1","1","2","2","1","1","1","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","1","2","2","2","2",0,-6.90775527898214
"1","1","2","Not Enrolled in School","8","Skipped School","1","2","4","1","3","1","1","2","2","1","1","1","1","2","1","2","1","2","2","1","1","1","2","2","2","2","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",364,5.89715661488571
"1","1","2","Not Enrolled in School","5","Question N/A","1","1","4","2","3","2","2","1","2","2","2","2","2","2","1","2","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"2","3","4","Not Enrolled in School","4","Did Not Skip School","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","1","1",45,3.80668471174563
"1","1","1","Not Enrolled in School","7","Skipped School","1","1","4","2","3","1","1","1","1","2","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","2","2","2","2",0,-6.90775527898214
"1","7","4","Not Enrolled in School","7","Skipped School","1","1","2","1","2","2","3","1","1","2","2","1","1","1","2","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","2","2","1","1","2","2","2","1","2","2","1","1","2","2","2","1","2",155,5.04343156851134
"2","6","3","Not Enrolled in School","6","Skipped School","1","2","4","2","3","2","2","1","2","2","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","1","1","1","2","2","2","2",336,5.81711413614925
"1","1","2","Not Enrolled in School","7","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","2","2","2","1","2","2","1","1","2","2","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","2","2","2","2",0,-6.90775527898214
"2","7","1","Not Enrolled in School","8","Question N/A","1","1","4","2","3","1","1","1","1","2","2","1","1","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2",0,-6.90775527898214
"1","1","3","Not Enrolled in School","6","Did Not Skip School","1","1","3","2","2","2","2","2","1","2","2","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2",300,5.70378580798398
"2","1","1","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"2","1","2","Not Enrolled in School","3","Skipped School","2","1","4","2","3","2","2","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","2","1","1","2",0,-6.90775527898214
"1","1","3","Not Enrolled in School","7","Skipped School","1","2","4","2","3","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2",0,-6.90775527898214
"2","1","2","Not Enrolled in School","3","Skipped School","1","1","3","2","2","2","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","1",0,-6.90775527898214
"1","2","2","Not Enrolled in School","2","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","1","2","2","1","2","2","1","2",0,-6.90775527898214
"2","2","1","Not Enrolled in School","8","Skipped School","1","2","2","1","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"2","6","1","Not Enrolled in School","6","Skipped School","2","2","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","2","1","1","1","2","1","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"1","5","2","Not Enrolled in School","7","Did Not Skip School","1","1","1","2","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","1","2","1","1","1","1",0,-6.90775527898214
"1","7","2","Not Enrolled in School","5","Did Not Skip School","2","1","2","1","1","2","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","2","1","2","2","1","2","1",0,-6.90775527898214
"1","7","1","Not Enrolled in School","6","Did Not Skip School","1","1","2","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","1","1","1",0,-6.90775527898214
"1","3","3","Not Enrolled in School","7","Did Not Skip School","1","2","2","1","2","2","2","1","2","2","1","1","1","1","2","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","1","1","1","1",3,1.09894556645823
"1","1","2","Not Enrolled in School","8","Question N/A","1","2","1","1","1","2","3","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","2","1",0,-6.90775527898214
"1","5","2","Not Enrolled in School","8","Did Not Skip School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"1","1","3","Not Enrolled in School","5","Did Not Skip School","1","1","3","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1","2","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","2","2",0,-6.90775527898214
"2","1","1","Not Enrolled in School","7","Did Not Skip School","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","1",0,-6.90775527898214
"2","1","4","Not Enrolled in School","8","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","1","1","1","1","1","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","2","2",0,-6.90775527898214
"1","1","1","Not Enrolled in School","7","Did Not Skip School","1","1","4","2","3","1","1","1","1","2","2","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"2","1","1","Not Enrolled in School","7","Skipped School","1","2","4","1","3","2","2","1","1","2","2","2","1","1","2","2","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1",0,-6.90775527898214
"1","6","3","Not Enrolled in School","6","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"1","6","1","Not Enrolled in School","8","Question N/A","2","2","2","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","1","1","Not Enrolled in School","3","Skipped School","1","2","4","2","3","2","2","1","1","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2",0,-6.90775527898214
"1","1","3","Not Enrolled in School","5","Skipped School","1","1","1","1","1","2","3","1","1","2","2","2","2","2","1","2","1","2","2","1","1","1","2","2","1","2","2","2","1","1","1","1","2","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","1","1","Not Enrolled in School","5","Question N/A","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","1","2","1","1","2","1","2","2",0,-6.90775527898214
"1","1","1","Not Enrolled in School","5","Skipped School","1","2","2","2","1","1","1","1","1","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"2","1","3","Not Enrolled in School","5","Skipped School","1","2","2","2","2","3","3","1","2","2","1","2","1","2","2","1","1","2","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","2","2",0,-6.90775527898214
"1","6","3","Not Enrolled in School","5","Skipped School","1","1","2","1","2","2","2","2","1","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2",0,-6.90775527898214
"1","1","1","Not Enrolled in School","7","Skipped School","1","2","4","2","3","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","2","1","2","2",0,-6.90775527898214
"2","5","2","Not Enrolled in School","7","Skipped School","1","1","2","2","2","1","1","1","1","2","2","2","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0,-6.90775527898214
"1","1","2","Not Enrolled in School","4","Did Not Skip School","1","1","4","2","3","2","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
"2","6","4","Not Enrolled in School","7","Did Not Skip School","1","2","4","1","3","2","2","2","1","2","2","1","1","2","2","2","1","2","1","2","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","1","1","2","2","2","2","2","2","2","1","1","2","2","1","2",47,3.85016887807946
"2","6","2","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","2","2","2","1","2","2","2","2","1","1","1","1","1","2","2","2","1","1","1","1","2","1","2","2","2","2","2","1","1","2","2","1","1","2",0,-6.90775527898214
"2","1","4","Not Enrolled in School","4","Did Not Skip School","1","1","3","2","2","1","1","2","2","2","1","1","2","2","1","1","1","2","2","1","1","2","1","1","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","1","1","1","2","2","2","2",0,-6.90775527898214
"1","1","2","Not Enrolled in School","5","Skipped School","1","2","3","1","3","1","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","1","2","2",104,4.64440051447976
"2","7","4","Not Enrolled in School","5","Did Not Skip School","2","1","1","2","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","1","1",13,2.56502627758003
"2","4","3","Not Enrolled in School","3","Skipped School","1","2","1","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2",0,-6.90775527898214
"2","1","1","Not Enrolled in School","4","Did Not Skip School","1","2","1","1","1","2","3","2","1","2","2","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","2",364,5.89715661488571
"2","1","2","Not Enrolled in School","4","Skipped School","1","1","4","2","2","2","3","1","1","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","1","1","1","1","1","2",0,-6.90775527898214
"2","1","1","Enrolled in School","99","Question N/A","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","2","2",0,-6.90775527898214
"1","1","3","Not Enrolled in School","8","Skipped School","1","1","4","2","3","1","1","2","2","2","2","1","1","2","2","2","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2",3,1.09894556645823
"1","2","1","Enrolled in School","99","Question N/A","1","2","4","2","3","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","2","1","1","2",0,-6.90775527898214
"1","7","1","Enrolled in School","99","Question N/A","2","1","3","2","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","1","2",0,-6.90775527898214
"1","7","2","Not Enrolled in School","3","Did Not Skip School","1","1","1","1","1","1","1","2","1","2","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","1","2","1","1","2",0,-6.90775527898214
"2","7","1","Not Enrolled in School","6","Skipped School","1","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","2","1","2","2",0,-6.90775527898214
"2","7","1","Not Enrolled in School","1","Skipped School","1","1","3","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","1","1","2","1","1","2",0,-6.90775527898214
