"IRSEX","NEWRACE2","HEALTH2","EDUSCHLGO_T","EDUSCHGRD2_T","EDUSKPCOM_T","IMOTHER","IFATHER","INCOME","GOVTPROG","POVERTY3","PDEN10","COUTYP4","SCHFELT","TCHGJOB","AVGGRADE","STNDSCIG","STNDSMJ","STNDALC","STNDDNK","PARCHKHW","PARHLPHW","PRCHORE2","PRLMTTV2","PARLMTSN","PRGDJOB2","PRPROUD2","ARGUPAR","YOFIGHT2","YOGRPFT2","YOHGUN2","YOSELL2","YOSTOLE2","YOATTAK2","PRPKCIG2","PRMJEVR2","PRMJMO","PRALDLY2","YFLPKCG2","YFLTMRJ2","YFLMJMO","YFLADLY2","FRDPCIG2","FRDMEVR2","FRDMJMON","FRDADLY2","TALKPROB","PRTALK3","PRBSOLV2","PREVIOL2","PRVDRGO2","GRPCNSL2","PREGPGM2","YTHACT2","DRPRVME3","ANYEDUC3","RLGATTD","RLGIMPT","RLGDCSN","RLGFRND","IRMJFY"
"1","6","2","Not Enrolled in School","8","Question N/A","1","1","4","2","3","1","1","1","1","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","2",0
"1","7","1","Not Enrolled in School","5","Skipped School","1","2","2","2","1","2","2","1","1","2","2","2","2","2","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2",0
"1","1","3","Not Enrolled in School","6","Question N/A","1","1","4","2","3","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","1","2","2",0
"2","1","2","Not Enrolled in School","7","Skipped School","1","1","4","2","3","1","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","1","1","1","1",1
"1","1","1","Not Enrolled in School","7","Skipped School","1","2","4","2","3","1","1","1","1","2","2","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","1","1","1","1","1",0
"2","1","3","Not Enrolled in School","6","Skipped School","1","1","4","2","3","2","3","1","1","2","2","2","1","2","1","1","1","2","1","1","1","2","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","2",0
"1","6","3","Not Enrolled in School","7","Skipped School","1","1","4","2","3","2","3","2","2","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",19
"2","1","4","Enrolled in School","99","Question N/A","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","1","2",0
"2","1","1","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","1","2","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2",0
"1","5","1","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2",0
"1","2","3","Not Enrolled in School","2","Skipped School","1","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","2","1","1","2",0
"1","6","2","Not Enrolled in School","3","Skipped School","1","1","4","2","3","2","2","2","2","2","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2",0
"1","7","1","Not Enrolled in School","3","Did Not Skip School","1","2","1","1","1","1","1","1","1","2","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2",0
"1","7","3","Not Enrolled in School","4","Question N/A","1","1","2","2","2","3","3","1","2","2","2","2","2","2","2","2","1","2","1","2","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1",0
"1","1","3","Enrolled in School","99","Question N/A","1","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","2","2","1","2","1","1","2","2","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","1","3","Not Enrolled in School","3","Skipped School","1","2","4","2","3","1","1","1","2","2","2","2","2","2","1","1","1","2","1","2","2","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","1","1",0
"2","1","1","Not Enrolled in School","4","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","1","2","2","2","2",0
"2","1","3","Not Enrolled in School","2","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","7","3","Not Enrolled in School","5","Question N/A","1","2","3","2","3","2","3","2","2","2","2","1","1","2","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","1","2","2","2","2","2",312
"1","1","2","Not Enrolled in School","5","Did Not Skip School","1","1","4","2","3","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","2","1","1","1",0
"1","1","2","Not Enrolled in School","5","Did Not Skip School","1","2","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","1","1","1","2","1","2","1","2","2","1","2","1","1","1","1","1","1",0
"1","1","2","Enrolled in School","99","Question N/A","1","1","4","2","3","2","3","1","2","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","2","2",0
"1","7","1","Not Enrolled in School","2","Skipped School","1","2","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0
"2","1","2","Not Enrolled in School","2","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","1","2","2","1","1",0
"2","7","3","Not Enrolled in School","4","Skipped School","1","1","4","2","3","1","1","1","2","2","2","2","1","2","1","1","1","2","1","1","1","1","1","2","2","2","2","2","1","2","1","1","1","2","1","1","1","2","1","1","2","1","2","2","2","2","2","2","1","2","2","1","1","2",0
"2","1","2","Not Enrolled in School","2","Skipped School","1","1","3","2","2","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","1","1","1",0
"2","6","2","Not Enrolled in School","1","Skipped School","1","1","2","1","1","3","3","1","1","2","2","2","2","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","1","1","2","1","1","1",0
"2","1","4","Not Enrolled in School","8","Skipped School","2","2","1","1","1","2","3","1","2","1","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","2","2",0
"1","1","2","Not Enrolled in School","2","Skipped School","1","1","4","2","3","2","2","2","1","2","2","2","2","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","2","1",0
"1","7","3","Not Enrolled in School","4","Skipped School","1","1","2","1","2","2","2","1","1","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2",0
"1","5","1","Not Enrolled in School","3","Question N/A","1","1","4","2","3","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2",0
"2","1","2","Not Enrolled in School","7","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","2",0
"2","7","4","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2",0
"1","1","3","Not Enrolled in School","7","Did Not Skip School","2","1","1","1","1","2","2","2","2","2","2","1","2","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2",1
"2","7","3","Not Enrolled in School","5","Skipped School","1","2","1","1","1","2","2","1","2","2","2","1","2","2","1","2","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","2","1","2","1","1","2","2",36
"1","7","3","Not Enrolled in School","5","Question N/A","1","2","1","1","1","2","3","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","2","1","2","2",0
"1","1","1","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","2","1","2","2","2","2","2","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","7","1","Not Enrolled in School","6","Skipped School","1","2","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","2","2","2","1",0
"1","5","2","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","1","2",0
"1","1","3","Not Enrolled in School","3","Skipped School","1","1","4","2","3","1","1","1","1","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2",0
"1","2","1","Not Enrolled in School","5","Skipped School","1","1","2","2","2","2","2","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","1",0
"1","7","2","Not Enrolled in School","5","Skipped School","1","1","1","2","1","2","2","1","2","2","2","2","2","2","2","2","1","1","1","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","1","2","2","2",0
"1","1","1","Enrolled in School","99","Question N/A","1","1","4","2","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2",0
"1","1","3","Enrolled in School","99","Question N/A","1","1","4","2","3","2","2","2","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","2","2","1","2","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",0
"2","6","2","Not Enrolled in School","7","Skipped School","1","1","4","1","3","2","2","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","1","2",0
"2","1","1","Not Enrolled in School","2","Skipped School","2","2","2","1","3","3","3","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","2","1","2","2","1","2",0
"2","2","3","Not Enrolled in School","6","Did Not Skip School","1","2","1","1","1","2","2","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","1","1","2","1","1","2",364
"2","7","3","Not Enrolled in School","4","Question N/A","1","1","4","1","3","1","1","1","1","2","2","1","2","2","1","2","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","2","2",0
"1","1","2","Not Enrolled in School","6","Skipped School","1","1","4","1","2","1","1","1","1","2","1","2","2","2","1","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","1","1","1","2","1","1","2","2","2","2",0
"1","1","2","Not Enrolled in School","6","Skipped School","1","1","4","2","3","1","1","1","1","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","3","4","Enrolled in School","99","Question N/A","2","1","4","2","3","2","2","2","1","2","2","2","2","2","1","2","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1",0
"2","1","2","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","1","2","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2",0
"1","1","2","Not Enrolled in School","4","Skipped School","1","1","1","2","1","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","1","1","2",0
"1","2","1","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","3","1","1","2","1","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","7","3","Enrolled in School","99","Question N/A","1","1","4","1","3","2","2","2","1","2","2","1","1","1","1","2","1","2","2","2","2","1","2","2","1","1","1","2","1","2","2","1","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","1","1","2","2","2","2",208
"1","7","1","Not Enrolled in School","5","Question N/A","1","1","4","2","3","1","1","1","1","2","2","1","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","1","1","2","2","2","2","1","1","1","2","2","2","2","2","2","2","1","1","1",208
"1","2","2","Not Enrolled in School","2","Skipped School","2","2","1","1","1","2","3","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2",0
"2","1","3","Not Enrolled in School","4","Question N/A","1","2","4","1","3","2","3","2","2","2","1","2","2","2","1","1","1","1","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1",0
"2","7","3","Not Enrolled in School","7","Did Not Skip School","1","1","2","2","3","2","3","1","1","2","2","1","1","2","1","2","1","2","2","1","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1",4
"2","1","1","Not Enrolled in School","5","Skipped School","1","1","4","2","3","3","3","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","2","1","1","2",0
"2","2","1","Not Enrolled in School","6","Skipped School","1","2","2","2","2","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","2",10
"1","1","3","Not Enrolled in School","6","Skipped School","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2",0
"1","7","2","Not Enrolled in School","6","Skipped School","1","1","3","1","2","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","6","2","Not Enrolled in School","7","Skipped School","1","1","2","1","1","2","3","2","2","2","2","2","2","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","1","2","1","1","2","1","1","1",0
"1","1","3","Not Enrolled in School","5","Did Not Skip School","2","1","2","1","2","3","3","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","2","1","1","2","2","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2",260
"1","1","3","Not Enrolled in School","6","Did Not Skip School","1","2","3","2","3","2","3","1","1","2","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","1",0
"2","1","1","Enrolled in School","99","Question N/A","1","2","4","2","3","2","1","1","1","2","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","1","1","1","2",0
"1","5","2","Not Enrolled in School","7","Question N/A","1","1","4","2","3","2","2","2","1","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","1","2","2","2","2","2","2",0
"2","5","1","Not Enrolled in School","4","Skipped School","1","1","4","2","3","1","1","1","1","2","1","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","1","1","2","2","2","2","2","1","1","2","1","1","2",0
"2","1","2","Not Enrolled in School","6","Skipped School","1","1","2","1","2","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","2","1","1","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","1","1","2","2","2","2",72
"1","1","2","Not Enrolled in School","6","Skipped School","1","2","2","2","2","3","3","1","2","2","2","2","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2",0
"1","2","1","Enrolled in School","99","Question N/A","1","2","4","2","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","2","2","2","2","2","2","1","2",0
"2","7","2","Not Enrolled in School","6","Skipped School","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","1","1","2",0
"1","3","1","Not Enrolled in School","2","Skipped School","2","2","3","2","3","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1",0
"2","2","3","Enrolled in School","99","Question N/A","1","2","2","1","2","1","1","2","1","2","2","1","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","1",0
"1","3","1","Not Enrolled in School","6","Skipped School","1","2","3","2","3","2","2","1","2","2","2","2","2","2","1","1","1","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","2","1","1","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","1","2",0
"2","2","2","Not Enrolled in School","5","Did Not Skip School","1","1","4","2","3","2","2","2","1","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","1","2","1","1","1","1","1","2",0
"2","5","3","Not Enrolled in School","8","Did Not Skip School","1","1","4","2","3","2","2","1","2","2","2","1","1","2","1","1","2","2","2","1","1","1","2","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","2","1","1","2","1","1","2",208
"2","1","3","Not Enrolled in School","6","Did Not Skip School","1","1","4","2","3","1","1","1","2","2","2","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","2","2","2","2",0
"1","1","2","Not Enrolled in School","5","Question N/A","1","1","4","1","3","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2",0
"1","2","2","Not Enrolled in School","3","Skipped School","1","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","1","1","2",0
"1","7","2","Enrolled in School","99","Question N/A","1","2","2","1","2","1","1","1","1","2","2","1","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","1","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2",84
"1","1","1","Not Enrolled in School","5","Skipped School","1","2","1","1","1","1","1","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","2","2","2","2","1","1","1","2","2","2","2",2
"2","1","2","Not Enrolled in School","3","Skipped School","1","1","4","1","3","2","2","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","1","2",0
"2","1","3","Enrolled in School","99","Question N/A","1","1","4","2","3","2","2","2","2","2","1","1","1","2","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1","1","1","1","2","2","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2",0
"1","3","3","Not Enrolled in School","6","Did Not Skip School","1","1","4","1","3","3","3","2","1","2","2","1","2","2","2","2","2","1","2","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2",15
"1","2","1","Not Enrolled in School","6","Skipped School","2","2","2","1","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","2","2","1","1","1",0
"1","2","1","Not Enrolled in School","6","Skipped School","1","1","4","1","3","2","2","1","1","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2",0
"1","1","1","Not Enrolled in School","7","Skipped School","1","1","3","2","3","2","2","1","1","2","2","2","1","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","2","1","1","1",0
"2","1","2","Not Enrolled in School","7","Question N/A","1","1","4","2","3","2","2","2","1","2","2","1","1","2","2","1","1","2","1","2","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2",0
"1","7","2","Not Enrolled in School","5","Did Not Skip School","1","1","2","2","2","1","1","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","1","1",0
"2","7","3","Enrolled in School","99","Question N/A","1","2","4","2","3","2","2","2","1","2","2","2","2","2","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","1","1","2","2","2","2","2",60
"2","1","1","Not Enrolled in School","5","Skipped School","1","1","4","2","3","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","1","1","1",0
"2","7","1","Not Enrolled in School","8","Skipped School","1","2","2","2","2","2","2","1","1","2","2","1","1","2","2","2","1","2","2","1","1","1","2","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2",0
"2","7","2","Not Enrolled in School","8","Question N/A","1","1","1","2","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2",0
"1","7","1","Not Enrolled in School","3","Skipped School","1","1","3","2","2","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","2","1","1","2",0
"1","2","1","Not Enrolled in School","6","Skipped School","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","2","1",0
"2","1","3","Not Enrolled in School","7","Skipped School","1","1","4","2","3","2","3","1","2","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","1","1","1","1",0
"1","2","2","Not Enrolled in School","8","Skipped School","1","1","2","2","3","1","1","1","1","2","2","1","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","2","1","1","2","2","1","2",11
